Verb,Function,Level_1,Level_2,Level_3,
成,,性质与状态,才品,能庸,
在,,运动与变化,判断,有无,
在,,运动与变化,判断,处于,
治疗,,社会活动,文教,医治,
服从,,社会活动,帮助,协商,
依恋,,生物活动,心理活动,喜欢,
记得,,生物活动,心理活动,回忆,
亲,,性质与状态,性质,亲疏,
防范,,运动与变化,事态变化,未然,
适用,,性质与状态,性质,利弊,
推行,,运动与变化,事态变化,进行,
失,,社会活动,争斗,违背,
培养,,社会活动,生产,畜牧,
培养,,社会活动,文教,教学,
侮辱,,社会活动,争斗,欺负瞒骗,
讲话,,社会活动,社交,说话,
完成,,运动与变化,事态变化,结束,
理睬,,生物活动,心理活动,关注,
改造,,生物活动,心理活动,醒悟,
改造,,社会活动,管理,改革,
改造,,社会活动,生产,建造,
损害,,运动与变化,判断,有害,
提防,,运动与变化,事态变化,未然,
投注,,生物活动,生活工作,娱乐,
憎恨,,生物活动,心理活动,厌恶,
低声下气,,性质与状态,性质,贵贱,
批判,,社会活动,社交,批评,
调整,,生物活动,生活工作,起居,
形容,,社会活动,社交,表达,
让,,生物活动,生活工作,走动,
让,,社会活动,经贸,买卖,
让,,社会活动,争斗,侵害,
无意,,生物活动,心理活动,愿意,
抗拒,,社会活动,战争,抵抗,
理会,,生物活动,心理活动,关注,
理会,,生物活动,心理活动,了解,
念,,生物活动,心理活动,回忆,
念,,社会活动,文教,学习,
念,,社会活动,文教,阅读,
指控,,社会活动,司法,诉讼,
深信不疑,,生物活动,心理活动,相信怀疑,
设置,,社会活动,管理,建立,
设置,,社会活动,生产,建造,
拿,,生物活动,肢体动作,拿掀,
拿,,社会活动,司法,逮捕,
忽视,,生物活动,心理活动,忽视,
指导,,社会活动,文教,教学,
公开,,运动与变化,判断,显示,
公开,,性质与状态,性质,显隐,
暗示,,社会活动,社交,表达,
道谢,,社会活动,社交,感谢道歉,
摸,,生物活动,肢体动作,按触,
摸,,生物活动,生活工作,走动,
恭敬,,性质与状态,才品,谦傲,
待,,生物活动,心理活动,计划,
待,,生物活动,生活工作,生活,
待,,社会活动,社交,交际,
待,,社会活动,社交,介绍,
履行,,运动与变化,事态变化,进行,
获得,,运动与变化,事态变化,结束,
亏欠,,社会活动,经贸,积累,
