ID,Mode,Proficiency,L1,Verb,Native_COLL,Native,Textbook,Reliability,Accessibility,Functions,Semantics,Textbook_COLL
MENG_TH,S,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
MW_RU,S,NNS2,RU,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
MW_RU,S,NNS2,RU,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
CAMLG_TH,S,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
CAMLG_TH,S,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
JA_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
JZE_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
JZE_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
JZE_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LCL_KR,S,NNS2,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
MLY_RU,S,NNS2,RU,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
MLY_RU,S,NNS2,RU,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
MLY_RU,S,NNS2,RU,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
ZLYE_RU,S,NNS2,RU,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
DCYY_JP,S,NNS2,JP,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LC_TH,S,NNS2,TH,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LC_TH,S,NNS2,TH,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LIF_RU,S,NNS2,RU,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
MWH_VE,S,NNS2,ES,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
QFS_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
QFS_KR,S,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
WGZE_VN,S,NNS2,VN,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
WYMU_SD,S,NNS2,AR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
SXD_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
SXD_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
CXYA_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
CXYA_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
JXJ_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
JXJ_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
MX_CS,W,NNS2,Other,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
MX_CS,W,NNS2,Other,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
YZX_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
PZY_KR,W,NNS2,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
CLY_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
ZJJ_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
ZSM_KR,W,NNS2,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
NE_KZ,W,NNS2,TK,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
ZSM_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
CQM_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
JRY_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
OMLI_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
OMLI_TH,W,NNS2,TH,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
BJM_AO,W,NNS2,PT,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
WJS_MU,W,NNS2,Other,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
KYC_RU,W,NNS2,RU,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LLS_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
HLH_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
YYQH_JP,W,NNS2,JP,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
GB_MX,W,NNS2,ES,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
GB_MX,W,NNS2,ES,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
GB_MX,W,NNS2,ES,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
MELI_KG,W,NNS2,TK,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
LWC_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
MHMAD_TJ,W,NNS2,Other,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
JA_KR,W,NNS2,KR,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
MLY_RU,W,NNS2,RU,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LIF_RU,W,NNS2,RU,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
SSXI_KR,W,NNS2,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
CAMLG_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
HPL_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
HPL_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
LWC_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
LWC_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
MLIK_TJ,W,NNS2,Other,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
PZY_KR,W,NNS2,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
LZLA_CD,W,NNS2,FR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
CAMLG_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
LMA_PT,W,NNS2,PT,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
CAMLG_TH,W,NNS2,TH,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
